Gene	PM1	PM2	LN1	LN2
ZFP2	44	65	17	21
ZFP28	0	1	333	284
ZFP3	398	397	3	0
ZFP30	396	402	355	376
ZFP36	554	975	158	152
ZFP36L1	1757	1992	673	576
ZFP36L2	2624	4038	782	846
ZFP37	0	0	157	216
ZFP41	394	302	478	420
ZFP42	0	0	0	0
ZFP57	0	2	0	0
ZFP62	1259	1122	1215	1047
ZFP64	819	661	569	564
ZFP82	0	0	65	83
ZFP90	1254	1035	785	631
ZFP91	2836	2130	2868	2830
ZFP91-CNTF	0	0	0	0
ZFP92	0	0	0	0
ZFPL1	508	547	524	512
ZFPM1	88	102	75	51
ZFPM2	0	0	4	2
ZFR	3702	2679	4092	3741
ZFR2	0	1	0	0
ZFX	982	826	826	793
ZFY	0	2	593	585
ZFYVE1	438	484	381	348
ZFYVE16	2008	1756	1771	1638
ZFYVE19	572	727	512	581
ZFYVE20	1661	1355	1189	1083
ZFYVE21	1608	1883	1117	1195
ZFYVE26	1072	752	718	628
ZFYVE27	773	770	712	689
ZFYVE28	468	474	151	120
ZFYVE9	588	452	1178	996
ZG16	8	7	6	7
ZG16B	107	239	685	707
ZGLP1	38	49	73	71
ZGPAT	406	555	422	433
ZHX1	2637	1946	1896	1663
